ImageName,ori_1,ori_2,ori_3,ori_4,ori_5,ori_6,ori_7,ori_8,horver_1,horver_2,horver_3,horver_4,horver_5,horver_6,horver_7,horver_8,len_1,len_2,len_3,len_4,len_5,len_6,len_7,len_8,curv_1,curv_2,curv_3,curv_4,curv_5,curv_6,curv_7,curv_8,juncType_T,juncType_Y,juncType_X,juncType_Arrow,juncType_Star,juncAngle_1,juncAngle_2,juncAngle_3,juncAngle_4,juncAngle_5,juncAngle_6,juncAngle_7,juncAngle_8
highways_00408.jpg,5646.44054159688,512.167883534427,494.656739762363,449.501594921775,3619.99282128859,328.624324715088,523.698786898697,902.527218110054,3664.90550234103,233.521681393937,499.691557190484,392.2213613799,564.279281462155,659.73147126836,636.192994368613,3247.0660614234,41.5314304685108,247.138653833454,1108.25819976016,1665.13393752422,3614.32584233671,2305.5972774972,3495.62456940763,0,6712.70712086847,1613.05738221878,1704.71383952997,1280.14371446363,819.610337582076,296.004333667085,50.3731824978778,1,157,6,48,7,8,39,12,14,12,27,121,1,0
highways_00409.jpg,5983.77641707521,1846.4529729487,2556.32527954333,2025.90793661006,5353.76963021311,2302.36390930865,3392.77162262607,2594.61965391339,5803.09956875107,1887.18117469585,2254.99139637685,3123.6895616661,2530.55390020967,1736.45427640488,2372.61354500122,3909.40399913289,75.7474733156284,450.211746709485,2472.82136348763,5139.79142336893,6834.36415999412,6468.58094188546,3789.39605326983,825.074260207445,8819.09932408415,3855.0915642075,4139.25452902576,4228.43848769093,3026.40434955207,1496.4713703461,465.513020689903,25.7147766421189,302,57,81,21,23,62,21,57,77,88,157,11,11
highways_00410.jpg,4251.08494894908,1733.19155886966,855.353689242301,804.374913748731,3985.77415947949,752.660542607817,731.46310807461,692.14650099936,4254.26711076031,609.626399751356,694.72749362521,460.18024196196,1110.82516705411,551.193530621373,1597.20187880081,3036.02759939593,19.7082039324994,110.323807579381,542.139579795484,2179.9106875,3331.41585557683,3774.42326817623,1989.39027771597,1858.73774169467,5011.74457422881,2401.2340290269,2460.93776286832,1951.23186099583,1356.35968491635,491.108872995545,129.782355399421,3.65028153987288,63,4,6,3,1,5,0,1,3,13,54,0,1
highways_00411.jpg,9621.01015090427,630.411830266453,443.19434345227,815.332153122467,4882.02135794613,810.745444152907,303.168077411557,1768.65684131959,4981.0655216007,339.370860369566,1187.66257325124,251.790071755509,494.572349108318,875.725657016003,1297.59389649435,5924.75926897997,58.3491902572868,298.011457407616,1826.16488624171,4890.86988545306,5515.58278805898,4023.81401568422,1984.02227502147,677.725700451296,9271.37257794618,2907.15425826208,3267.64295980048,1935.09717341462,1423.6245724669,378.830275485791,90.818381199589,0,317,14,55,8,6,30,18,26,34,57,222,12,1
highways_00413.jpg,7786.45817082359,390.645046091513,653.138506789942,596.197421871904,4624.67015792783,246.747263719649,429.362899585633,731.411943568324,4710.37389944348,389.932491195654,367.308452880245,135.984744466098,946.516661909477,279.524906282872,813.894955435195,4486.09529876536,79.565496874094,132.563877066327,951.572205569659,3343.54792577038,4980.98921522109,4022.63943301147,1947.75325686536,0,6364.76917789305,2903.47790946691,2799.58428721515,1981.01279798108,1012.1597619698,351.374365542517,46.2531103098709,0,175,12,17,3,1,14,1,7,19,14,144,7,2
highways_00414.jpg,6951.18391914319,691.570816472948,611.816070466871,615.25039884803,4228.39951413778,418.899649730583,1063.71534054634,1476.41061844407,4318.22487624267,300.799401641197,643.525284832531,336.503194648255,1277.17337033123,675.908162164234,1331.11999673133,6177.99204119838,52.3154938788443,333.002987320264,1505.98822738065,2975.68884958759,2630.40474712858,5243.38154140361,2589.26520511242,727.199275977857,9796.13857063369,2898.54559549586,1479.42661653765,1086.64718910656,661.010276525525,129.478079490537,6,0,160,9,30,4,2,13,5,48,6,15,103,15,0
highways_00415.jpg,7925.48142889224,652.653403983221,379.830841268113,488.75305374236,6442.4426998159,471.830090929347,524.693183863264,1833.93482885015,6541.48540088797,461.373072772441,400.167370827197,243.33203007008,564.10941437717,595.972518878273,1385.46882893091,4419.71089460055,24.1231056256177,148.015812518956,1104.26489333413,2739.71080544908,5888.55180440067,4322.0245158059,4492.92859421024,0,7591.73970005631,4613.9959348413,2792.67298204311,2002.54071384648,1311.66351697308,324.07268007538,79.9340035089329,3,158,12,14,6,2,8,3,12,23,16,117,13,0
highways_00416.jpg,9714.24244434021,730.16887538638,839.758863345281,760.125609643378,6161.21030955271,869.043571242307,683.821966600463,1266.17161168759,6321.44345027801,793.990073837657,694.362454161684,597.35251148654,855.772612411798,719.765799285997,1004.57427680251,5214.28207353413,48.7183472062349,612.93535251586,1521.97088552726,4188.06994453027,6508.70798597089,5787.89755804423,1514.20612223876,842.037055764797,8567.93616257752,2784.98180714422,3330.7009831178,2580.91162684792,2319.72614400647,1061.56043613796,354.36760649407,24.3584854723723,209,10,26,6,9,29,11,22,4,21,164,9,0
highways_00422.jpg,6252.58865091493,998.23193927377,610.436909833532,668.673832978423,3338.83520595165,481.508076259508,549.573395774518,1223.71134906351,3491.03310054606,618.859774609618,394.935628334744,443.163544826549,701.03537248066,505.854762201504,988.588544033488,5036.08863301721,181.326651632341,495.141808191781,1250.65684363328,2101.89381728477,2398.17535806854,4211.05717813897,3485.30770310014,0,5770.65850008468,1979.04365064679,1929.13280898945,1894.60417848126,1094.85122521322,1133.23749216397,290.786669480731,31.2448349897449,177,9,28,5,5,25,6,7,14,24,141,6,1
highways_00425.jpg,8553.0565956909,1128.4574975658,545.21328490005,758.396487429146,1825.72256043074,207.183118331881,829.613018524954,1320.70651517364,1871.61373605308,437.108642290146,482.579787848546,513.742475091446,766.781124236591,541.461498725412,1604.6518108945,5935.4100029074,5.09901951359278,115.142512282507,342.581563210857,2510.09116862154,2752.21424422153,6097.98406892186,2686.20446748199,659.032033793232,7502.87566737302,2244.49625837273,1854.00528321071,2170.45870933162,858.598177733781,429.118998438136,97.4954205073685,11.3005630797458,72,5,21,3,6,26,2,5,10,9,52,3,0
