ImageName,len_1,len_2,len_3,len_4,len_5,len_6,len_7,len_8,ori_1,ori_2,ori_3,ori_4,ori_5,ori_6,ori_7,ori_8,curv_1,curv_2,curv_3,curv_4,curv_5,curv_6,curv_7,curv_8,juncType_T,juncType_X,juncType_Y,juncType_Arrow
bottom_city_00604.jpg,0,49.9436938035624,139.406997015567,985.595137164183,3591.84314113556,2739.64466830562,2493.56636257551,0,2947.63275179846,750.346618433633,249.90104810176,243.373151813121,4354.66243954994,477.273657746108,457.946957238752,518.863375318224,3827.43755385147,2535.67506651903,1673.46082420823,1217.71386849551,602.203136392203,129.17873021341,14.3308203201437,0,5.72932893243034,1.43233223310758,2.14849834966138,0
bottom_city_00606.jpg,5.22329672149451,286.956194563573,650.854555945416,2146.32846396602,3301.13463996144,2231.87360551021,1377.62924333185,0,1667.5571043893,738.206341191937,635.60304348191,716.286860627966,3908.13220460695,510.994019805417,928.277407318098,894.94301857842,4311.41202359474,1655.29582865417,1844.73607029918,1278.99372795816,672.157464752691,210.449868814048,24.9864830895645,1.96853283744185,5.11178322134503,5.57649078692185,3.25295295903775,2.78824539346092
bottom_city_00613.jpg,16.5292384799135,110.175745569908,866.434156654532,1934.3212839626,3462.95707430127,2481.95710337584,1127.62539765594,0,2022.17261776011,674.809526288611,218.436833730427,217.965744696712,5449.95854811381,611.960895917896,524.833412861848,279.862420630591,3650.65570445016,2103.51820986201,2653.84632416228,861.238965955005,490.202856123304,193.669042494661,46.8688969525791,0,7.00619978897005,1.27385450708546,0.636927253542732,0
bottom_city_00614.jpg,3.97087404987004,225.415027267944,997.411796895177,2070.57842040082,2720.65416105733,1522.89354763839,1390.18214585888,1068.89402683161,622.765802576552,631.250267126111,259.618841008602,171.294227292603,7620.32231752202,167.055134707343,174.248389609797,353.445020156966,6499.09651926083,1767.13994189581,678.981098920525,596.28517767572,335.274467421036,113.081721266455,10.1410735596213,0,23.4710823941902,1.99753892716512,2.99630839074769,0.499384731791281
bottom_city_00619.jpg,15.1799959286754,231.557888778623,594.45697371712,1687.39199769393,3414.43673319687,2595.18505608732,1461.79135459745,0,2408.89785581485,390.597360836281,442.436298001497,654.975648972929,4013.14111193528,340.05541762393,428.466602635219,1321.42970418001,4705.21917342864,1946.46401508112,1729.91585873987,1013.19595872733,474.227838752955,111.986876397905,14.2230908417762,4.7671880304046,27.5203493152703,7.64454147646397,9.17344977175677,0.764454147646397
bottom_city_00621.jpg,29.8384213586202,389.874660207153,624.393434923969,2245.46834047997,2800.74111751594,2655.05864433722,1254.62538117713,0,3933.3135845233,248.122998157306,89.9792465703693,330.594948009919,2402.81086852934,606.43715654087,856.086830019482,1532.65436764942,6641.13748370128,1560.79008833152,642.021621592066,754.703053290431,232.862153080961,150.661567930633,15.7428397847304,2.08119228837877,52.7361504250323,1.92937135701338,0,0.643123785671125
bottom_city_00625.jpg,0,92.1867588806543,719.669679011654,2542.1227257346,2047.15685224575,2071.33174224945,1662.62562619909,864.906615678801,2669.35702108551,1080.38266105779,674.124281187954,719.97943113763,3703.27223815036,505.78971537794,317.360481136375,329.734170866436,5410.38141448319,1554.87977750343,1055.61685405314,1179.22498720696,607.279378455965,177.336134775892,11.2796974981634,4.0017560232564,1.78963969947411,3.57927939894822,2.68445954921116,0.894819849737054
bottom_city_00626.jpg,4.11522276082181,63.1508989913698,650.196790469519,3103.1013079209,3317.9870463979,2086.4928234501,774.955910009388,0,2086.99484272138,370.743830279433,356.330458792415,808.056217651097,5431.94243614995,330.229269302535,428.25146180157,187.451483301613,5136.35660062157,1360.17830851187,1673.28822272382,1060.11481586087,534.89383224817,204.801776234083,29.2250863631441,1.14135743646919,9.13085949175356,0,3.42407230940758,2.28271487293839
bottom_city_00629.jpg,15.7868142869489,53.1614483375378,361.153765377636,1015.02096183367,3655.39172244371,3169.39522732563,785.524114103023,944.565946291855,3348.62054693053,323.81623734705,192.098861071633,490.384815695336,4461.48248464087,555.275519151103,184.103909179259,444.217625984223,4855.19769744488,2468.7366644013,1399.60911334955,753.877442279497,410.302530467928,89.9559736504268,22.3205784064156,0,5.94074701286868,2.97037350643434,3.96049800857912,0.990124502144781
bottom_city_00646.jpg,87.9032437060906,381.158222782267,1302.24486252873,2903.27390797273,1718.32777680805,1601.05188588971,749.509377027774,1256.53072328465,4312.80577938382,955.740262974713,412.836861913122,916.004139287129,1593.27288330044,418.074751075587,290.072701779073,1101.19262028612,5559.02018005888,1199.30429024668,1285.06726383973,981.264625223858,589.219955365466,305.767566308613,77.0041774211795,3.35194153559446,12.7373778352589,10.0558246067834,2.01116492135668,2.01116492135668
bottom_city_00660.jpg,40.3424579628936,554.277478347823,413.656682044453,1904.35659434366,2329.06084015949,4590.44414841286,167.861798728817,0,1067.79803212246,613.387395301342,329.6906547079,152.843166003436,6671.03334692906,151.488824500118,381.734398794652,632.02418164104,8190.71622379479,802.352914967191,426.233191087963,281.561171845577,175.576143935189,88.8744417070087,25.7755956246904,8.91031703759635,44.8974144058123,3.7865289257914,0.540932703684485,2.16373081473794
bottom_city_00663.jpg,90.4412295089121,504.278694602789,1849.25906728814,1648.78482567169,2881.03811697767,2043.3713274371,982.826738513709,0,1785.53352708173,952.407209163067,229.611245860268,400.557411057166,5659.47648514024,449.037619298445,183.6778480826,339.698654316487,6138.58354254836,953.501337072242,934.699198115334,600.037062587842,843.01209533824,458.457991709685,70.7874561482743,0.921316480021537,3.22460768007538,6.44921536015076,3.68526592008615,5.06724064011846
bottom_city_00670.jpg,12.1664233221507,44.2144775605176,392.645038611855,6862.99137184601,876.122906528116,759.775676613491,381.09968085278,670.98442466508,3494.79087198141,818.736914560673,239.668870810381,147.528117953713,4915.7168260681,125.522053238587,62.7627171568442,195.273628230296,1877.1882158041,578.123238589314,1127.31377695803,5243.62541667044,625.756671709691,389.002756248782,151.513853606692,7.4760704129605,0,3.14262536007808,0,0.897892960022309
bottom_city_00680.jpg,157.773794213027,483.90664560747,1840.949169528,3098.51648759849,1465.64590644896,2275.11018708311,678.097809520949,0,2882.94939854904,354.192655175371,229.059735553124,466.248982827305,4479.45714063863,888.710858035514,402.855013802765,296.526215418247,6479.81534114864,1221.64232567464,478.755051418812,736.586781419046,755.575786724037,228.566276198014,96.3336840760921,2.72475334072011,28.2365077529601,7.86919068525117,3.70314855776526,3.2402549880446
